Rank,Country,country,continent,2024 population,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,Land Area (Km²),density (km²),Yearly Change,Net Change,Fert. Rate,Med. Age,Urban Pop %,growth rate,world percentage
109,KGZ,Kyrgyzstan,Asia,6916140,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,"1,20,340",35,1.36%,"92,527",2.2,26,58%,1.58%,0.08%
110,BGR,Bulgaria,Europe,6757689,6687717,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,"1,08,560",62,-0.56%,"-38,114",1.7,45,77%,-1.39%,0.08%
111,TKM,Turkmenistan,Asia,6736216,6516100,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,"87,460",14,-0.55%,"-36,985",1.5,44,73%,1.33%,0.08%
112,SLV,El Salvador,North America,6338193,6364943,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,"20,720",307,0.45%,"28,569",1.8,27,79%,0.45%,0.08%
113,COG,Republic of the Congo,Africa,6332961,6106869,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,"3,41,500",18,2.43%,"1,50,076",4.1,18,69%,2.29%,0.08%
114,SGP,Singapore,Asia,5977412,6014723,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,"42,430",8377,0.49%,"29,276",1.5,41,87%,0.65%,0.07%
115,DNK,Denmark,Europe,5832387,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,700,148,0.75%,"43,297",1,36,N.A.,0.49%,0.07%
116,SVK,Slovakia,Europe,5805962,5795199,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,"10,230",118,0.56%,"32,469",2.2,29,88%,2.69%,0.07%
117,CAF,Central African Republic,Africa,5617310,5742315,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,"3,03,890",9,0.29%,"16,125",1.3,43,86%,2.92%,0.07%
118,FIN,Finland,Europe,5612817,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,"96,320",18,2.18%,"1,19,786",3.9,19,54%,0.09%,0.07%
119,NOR,Norway,Europe,5576660,5474360,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,"3,65,268",15,1.04%,"57,493",1.4,40,86%,0.74%,0.07%
120,LBR,Liberia,Africa,5506760,5418377,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,"48,088",56,-0.20%,"-11,295",1.6,42,54%,2.18%,0.07%
121,PSE,Palestine,Asia,5495443,5371230,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,"6,020",892,1.59%,"86,241",3.3,20,83%,2.31%,0.07%
122,LBN,Lebanon,Asia,5330690,5353930,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,"6,22,980",523,3.46%,"1,78,269",6,14,44%,-2.47%,0.07%
123,NZL,New Zealand,Oceania,5281538,5228100,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,"3,09,500",20,4.60%,"2,32,269",2.5,29,93%,0.83%,0.06%
124,CRI,Costa Rica,North America,5255017,5212173,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,"68,890",102,1.12%,"58,387",1.6,39,62%,0.60%,0.06%
125,IRL,Ireland,Europe,5213944,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,"2,63,310",73,0.79%,"41,108",1.7,38,83%,0.67%,0.06%
126,MRT,Mauritania,Africa,5169395,4862989,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,"10,30,700",5,2.93%,"1,46,954",4.6,17,60%,2.68%,0.06%
127,OMN,Oman,Asia,5129910,4644384,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,"51,060",15,0.48%,"24,385",1.3,35,84%,1.49%,0.06%
128,PAN,Panama,North America,4934507,4468087,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,"17,820",60,1.98%,"95,725",1.5,35,92%,1.35%,0.06%
129,KWT,Kuwait,Asia,4515577,4310108,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,"74,340",242,1.27%,"56,818",2.1,30,70%,0.97%,0.06%
130,HRV,Croatia,Europe,3875325,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,"55,960",72,-0.53%,"-20,698",1.5,45,61%,-0.54%,0.05%
131,ERI,Eritrea,Africa,3807670,3748901,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,"69,490",31,0.00%,178,1.8,37,62%,1.76%,0.05%
132,GEO,Georgia,Asia,3535603,3728282,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,"1,01,000",54,1.88%,"65,213",3.7,19,74%,-0.43%,0.04%
133,MNG,Mongolia,Asia,3475540,3447157,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,"15,53,560",2,1.27%,"43,608",2.6,27,67%,1.44%,0.04%
134,MDA,Moldova,Europe,3386588,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,"1,75,020",104,-0.04%,"-1,493",1.4,36,N.A.,4.98%,0.04%
135,URY,Uruguay,South America,3242204,3423108,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,"8,870",20,0.01%,181,0.9,45,N.A.,0.01%,0.04%
136,PRI,Puerto Rico,North America,3164253,3260314,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,"51,000",368,-0.65%,"-20,820",1.5,45,56%,0.24%,0.04%
137,BIH,Bosnia and Herzegovina,Europe,3048423,3210847,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,"11,610",63,2.33%,"69,341",1.7,34,97%,-0.70%,0.04%
138,ALB,Albania,Europe,3034961,2832439,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,"32,850",103,-1.05%,"-32,109",1.7,38,57%,-0.35%,0.04%
139,JAM,Jamaica,North America,3030131,2825544,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,"8,23,290",261,2.26%,"67,036",3.2,21,54%,-0.06%,0.04%
140,ARM,Armenia,Asia,2973840,2777970,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,"28,470",98,1.03%,"30,447",1.7,36,63%,-0.09%,0.04%
141,GMB,Gambia,Africa,2859110,2773168,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,"62,674",274,0.18%,"5,011",1.2,42,68%,2.48%,0.04%
142,LTU,Lithuania,Europe,2839175,2718352,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,"10,830",43,-0.02%,-611,1.4,32,60%,-1.15%,0.03%
143,QAT,Qatar,Asia,2791765,2716391,2695122,2760385,2414573,1713504,645937,441675,277450,118007,"27,400",236,-0.71%,"-19,890",1.3,37,69%,0.79%,0.03%
144,BWA,Botswana,Africa,2759988,2675352,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,"10,120",5,2.30%,"62,143",3.9,18,60%,1.71%,0.03%
145,NAM,Namibia,Africa,2538952,2604172,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,"2,57,670",3,2.18%,"54,163",3.6,22,84%,1.45%,0.03%
146,GAB,Gabon,Africa,2521139,2436566,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,"5,66,730",9,1.65%,"40,895",2.7,23,75%,1.99%,0.03%
147,LSO,Lesotho,Africa,2337423,2330318,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,"30,360",77,1.12%,"25,951",2.7,22,32%,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2201352,2150842,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,"28,120",76,2.23%,"48,013",3.8,19,46%,2.15%,0.03%
149,SVN,Slovenia,Europe,2118697,2119675,2119844,2117641,2080862,2057287,1984339,1986024,1901570,1741286,"20,140",105,0.01%,301,1.6,44,55%,-0.01%,0.03%
150,MKD,North Macedonia,Europe,1892516,2085679,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,"28,050",83,2.43%,"44,967",4.1,21,63%,-0.38%,0.02%
151,LVA,Latvia,Europe,1871871,1830211,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,"62,200",29,-0.56%,"-10,525",1.3,43,67%,-1.10%,0.02%
152,GNQ,Equatorial Guinea,Africa,1823009,1714671,1674908,1596049,1346973,1094524,684977,465549,282509,316955,"25,220",61,-0.48%,"-8,793",1.5,41,69%,2.37%,0.02%
153,TTO,Trinidad and Tobago,North America,1607049,1534937,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,760,299,2.38%,"37,383",1.8,33,N.A.,0.25%,0.02%
154,BHR,Bahrain,Asia,1507782,1485509,1472233,1477469,1362142,1213645,711442,517418,362595,222555,"5,130",1892,0.32%,"4,850",1.5,37,49%,0.90%,0.02%
155,TLS,Timor-Leste,Asia,1400638,1360596,1341296,1299995,1205813,1088486,878360,758106,642224,554021,"14,870",91,1.18%,"16,352",2.6,21,35%,1.44%,0.02%
156,EST,Estonia,Europe,1360546,1322765,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,"42,390",31,-0.49%,"-6,650",1.4,42,66%,-0.25%,0.02%
157,MUS,Mauritius,Africa,1358282,1300557,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,"9,240",641,0.99%,"13,306",1.4,38,61%,0.08%,0.02%
158,CYP,Cyprus,Europe,1271169,1260138,1251488,1237537,1187280,1129686,948237,788500,679327,640804,"2,030",136,-0.19%,"-2,419",1.2,37,41%,0.69%,0.02%
159,SWZ,Eswatini,Africa,1242822,1210822,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,"17,200",70,1.00%,"12,316",2.7,22,31%,0.76%,0.02%
160,DJI,Djibouti,Africa,1168722,1136455,1120849,1090156,1006259,919199,742033,577173,324121,144379,"23,180",49,1.37%,"15,778",2.6,25,71%,1.39%,0.01%
161,REU,Reunion,Africa,928784,981796,974052,957822,922495,890130,785424,658992,551674,473925,"18,270",391,0.50%,"4,639",2.3,28,60%,0.80%,0.01%
162,FJI,Fiji,Oceania,878591,936375,929766,920422,917200,905169,832509,780430,644582,527634,"2,500",51,0.42%,"3,708",2.2,38,N.A.,0.71%,0.01%
163,COM,Comoros,Africa,866628,852075,836774,806166,730216,656024,536758,431119,328328,242351,"1,861",458,1.91%,"16,241",3.8,21,33%,1.83%,0.01%
164,GUY,Guyana,South America,831087,813834,808726,797202,755031,747932,759051,747116,778176,705261,"1,96,850",4,0.57%,"4,734",2.4,26,27%,0.63%,0.01%
165,BTN,Bhutan,Asia,819198,787424,782455,772506,743274,705516,587207,558442,415257,298894,"27,990",21,2.40%,"19,193",3.5,20,23%,0.64%,0.01%
166,SLB,Solomon Islands,Oceania,791524,740424,724273,691191,612660,540394,429978,324171,233668,172833,"38,117",26,0.65%,"5,139",1.4,30,49%,2.23%,0.01%
167,MAC,Macau,Asia,720262,704149,695168,676283,615239,557297,431896,350227,245332,247284,30,21403,0.89%,"6,350",0.7,39,96%,1.29%,0.01%
168,LUX,Luxembourg,Europe,673036,654768,647599,630399,569408,507070,435628,381267,363741,339342,"2,590",254,1.19%,"7,938",1.4,39,87%,1.11%,0.01%
169,MNE,Montenegro,Europe,638479,626485,627082,629048,633966,631044,633324,621442,589324,530268,"13,450",47,0.78%,"4,927",1.8,40,68%,-0.10%,0.01%
170,SUR,Suriname,South America,634431,623236,618040,607065,575475,546080,478998,412756,375112,379918,"1,56,000",4,0.88%,"5,545",2.2,28,62%,0.84%,0.01%
171,CPV,Cape Verde,Africa,590506,598682,593149,582640,552166,521212,458251,364563,317234,287262,"2,66,000",148,1.86%,"10,777",2.2,32,97%,0.93%,0.01%
172,ESH,Western Sahara,Africa,539607,587259,575986,556048,491824,413296,270375,178529,116775,76371,320,2,1.25%,"6,651",1.1,41,77%,1.96%,0.01%
173,MLT,Malta,Europe,527799,535064,533286,515357,456579,418755,399212,365392,333587,315414,300,1672,0.34%,"1,805",1.6,32,39%,0.33%,0.01%
174,MDV,Maldives,Asia,526923,521021,523787,514438,435582,361575,282507,224957,164887,123243,700,1737,0.32%,"1,683",2.8,26,75%,-0.53%,0.01%
175,BRN,Brunei,Asia,524877,452524,449002,441725,421437,396053,333926,261928,187921,133343,"4,030",86,0.49%,"2,546",1.5,28,78%,0.78%,0.01%
176,BHS,Bahamas,North America,462721,412623,409984,406471,392697,373272,325014,270679,223752,179129,"5,270",41,0.82%,"3,772",1.7,32,80%,0.64%,0.01%
177,BLZ,Belize,North America,417072,410825,405272,394921,359871,322106,240406,182589,145133,120905,"22,810",18,1.45%,"5,966",2,26,48%,1.37%,0.01%
178,GLP,Guadeloupe,North America,401283,395839,395752,395642,399089,403072,424067,391951,334234,318310,"10,010",243,0.46%,"1,843",1.4,35,88%,0.02%,0.00%
179,ISL,Iceland,Europe,393396,375318,372899,366669,331060,318333,281462,255019,228263,204468,"1,00,250",4,1.51%,"5,838",1.5,36,84%,0.65%,0.00%
180,MTQ,Martinique,North America,375106,366981,367507,370391,383515,392181,432543,374271,333786,326428,"1,690",325,-0.37%,"-1,411",2.1,47,N.A.,-0.14%,0.00%
181,MYT,Mayotte,Africa,343195,335995,326101,305587,249545,211786,159215,92659,52233,35383,"1,060",898,-0.81%,"-2,807",2,49,N.A.,3.03%,0.00%
182,VUT,Vanuatu,Oceania,327777,334506,326740,311685,276438,245453,192074,150882,118156,87019,"12,190",27,2.30%,"7,368",3.6,20,25%,2.38%,0.00%
183,GUF,French Guiana,South America,326505,312155,304557,290969,257026,228453,164351,113931,66825,46484,375,4,3.32%,"10,490",4.6,17,42%,2.49%,0.00%
184,PYF,French Polynesia,Oceania,308522,308872,306279,301920,291787,283788,250927,211089,163591,117891,"82,200",89,1.69%,"5,120",3.3,25,94%,0.85%,0.00%
185,NCL,New Caledonia,Oceania,292639,292991,289950,286403,283032,261426,221537,177264,148599,110982,"18,280",16,0.96%,"2,769",2,34,75%,1.05%,0.00%
186,BRB,Barbados,North America,282467,281995,281635,280693,278083,274711,264657,258868,253575,241397,430,656,0.05%,131,1.7,39,32%,0.13%,0.00%
187,STP,Sao Tome and Principe,Africa,281807,231856,227380,218641,201124,182138,143714,120343,97210,77583,"3,660",242,0.25%,689,1.5,35,66%,1.97%,0.00%
188,WSM,Samoa,Oceania,235536,225681,222382,214929,203571,194672,184008,168186,164905,142771,960,81,2.02%,"4,665",3.6,19,78%,1.48%,0.00%
189,CUW,Curacao,North America,218019,192077,191163,189288,169572,159380,141424,155446,156851,150385,"2,830",433,0.63%,"1,356",3.8,20,16%,0.48%,0.00%
190,LCA,Saint Lucia,North America,185482,180251,179857,179237,175623,170935,159500,142301,121633,103090,444,295,0.03%,55,1.1,38,80%,0.22%,0.00%
191,GUM,Guam,Oceania,179744,172952,171774,169231,167978,164905,160188,138263,110286,88300,610,320,0.26%,459,1.4,34,20%,0.69%,0.00%
192,KIR,Kiribati,Oceania,167777,133515,131232,126463,116707,107995,88826,75124,60813,57437,540,165,0.76%,"1,271",2.7,31,99%,1.74%,0.00%
193,GRD,Grenada,North America,134518,126183,125438,123663,118980,114039,107432,99047,94838,98794,810,371,1.50%,"1,988",3.1,23,57%,0.59%,0.00%
194,FSM,Micronesia,Oceania,130418,115224,114164,112106,109462,107588,111709,98603,76299,58989,460,165,1.93%,"2,467",2.1,34,44%,0.93%,0.00%
195,JEY,Jersey,Europe,117207,111802,110778,108319,100561,96151,86192,82874,75124,68347,340,932,0.11%,126,1.5,34,35%,0.92%,0.00%
196,TON,Tonga,Oceania,108066,107773,106858,105254,106122,107383,102603,98727,96708,86484,180,150,0.12%,127,1.6,41,44%,0.86%,0.00%
197,SYC,Seychelles,Africa,104175,107660,107118,105530,99240,92409,80060,71057,65290,54379,720,234,-0.40%,-422,3.1,21,26%,0.51%,0.00%
198,ABW,Aruba,North America,100616,106277,106445,106585,104257,100341,89101,65712,62267,59106,390,590,-0.70%,-707,1.8,34,61%,-0.16%,0.00%
199,VCT,Saint Vincent and the Grenadines,North America,93772,103698,103948,104632,106482,109308,113813,112487,107480,98459,440,266,0.49%,456,1.6,36,28%,-0.24%,0.00%
200,VIR,United States Virgin Islands,North America,84905,98750,99465,100442,102803,106142,108185,100685,96640,63446,350,285,-0.93%,-796,2.1,45,N.A.,-0.72%,0.00%
201,ATG,Antigua and Barbuda,North America,84160,94298,93763,92664,89941,85695,75055,63328,64889,64516,570,214,-0.01%,-5,1.5,46,56%,0.57%,0.00%
202,IMN,Isle of Man,Europe,81938,84710,84519,84046,83593,83828,75562,68865,64022,55298,470,149,1.34%,"1,082",1.1,43,83%,0.23%,0.00%
203,AND,Andorra,Europe,74457,80088,79824,77700,71746,71519,66097,53569,35611,19860,240,170,1.94%,"1,419",1.5,38,90%,0.33%,0.00%
204,DMA,Dominica,North America,66205,73040,72737,71995,70007,68755,68346,69481,72978,68895,750,97,-0.46%,-305,1.5,36,83%,0.42%,0.00%
205,CYM,Cayman Islands,North America,64636,69310,68706,67311,60911,54074,39658,26027,17100,10533,50,289,-0.10%,-62,1.4,46,93%,0.88%,0.00%
206,BMU,Bermuda,North America,55840,64069,64184,64031,63144,63447,61371,57470,53565,52019,"4,10,450",1186,-0.15%,-82,1.9,35,90%,-0.18%,0.00%
207,GGY,Guernsey,Europe,55400,63544,63301,62794,61629,60782,59114,57727,52860,52656,"1,396",1009,1.25%,686,2.2,37,40%,0.38%,0.00%
208,GRL,Greenland,North America,46843,56643,56466,56026,55895,56351,56184,55599,50106,45434,260,0,0.18%,85,1.5,36,39%,0.31%,0.00%
209,FRO,Faroe Islands,Europe,46765,53270,53090,52415,48816,48410,45660,47479,43054,38416,200,39,-1.59%,-756,2.3,29,N.A.,0.34%,0.00%
210,MNP,Northern Mariana Islands,Oceania,46535,49796,49551,49587,51514,54087,80338,48002,17613,10143,950,108,0.73%,337,1.5,39,79%,0.49%,0.00%
211,KNA,Saint Kitts and Nevis,North America,44278,47755,47657,47642,47790,47403,45461,40636,43097,44968,460,184,-1.92%,-865,2.3,37,N.A.,0.21%,0.00%
212,TCA,Turks and Caicos Islands,North America,43350,46062,45703,44276,36538,29726,18744,11709,7598,5665,34,49,1.41%,601,1.4,42,100%,0.79%,0.00%
213,SXM,Sint Maarten,North America,39870,44222,44175,43621,40205,33034,30489,27845,12243,6260,160,1301,0.69%,272,1.5,44,15%,0.11%,0.00%
214,ASM,American Samoa,Oceania,39471,43914,44273,46189,51368,54849,58230,47818,32886,27075,150,220,1.25%,486,1,38,43%,-0.81%,0.00%
215,MHL,Marshall Islands,Oceania,39329,41996,41569,43413,49410,53416,54224,46047,31988,23969,10,233,2.23%,858,1.9,39,90%,1.03%,0.00%
216,LIE,Liechtenstein,Europe,38631,39584,39327,38756,37355,35926,33026,28765,25003,21089,1,247,-0.83%,-325,2.1,54,N.A.,0.65%,0.00%
217,MCO,Monaco,Europe,37548,36297,36469,36922,36760,33178,32465,30329,27076,24270,180,18149,-3.29%,"-1,279",2.9,21,N.A.,-0.47%,0.00%
218,SMR,San Marino,Europe,33581,33642,33660,34007,33570,31608,26823,23132,21346,18169,60,561,-0.45%,-152,1.2,48,100%,-0.05%,0.00%
219,GIB,Gibraltar,Europe,30675,32688,32649,32709,32520,31262,27741,27317,28734,26685,328,4807,2.60%,777,1.5,40,66%,0.12%,0.00%
220,MAF,Saint Martin,North America,26129,32077,31791,32552,35020,36458,29610,28127,7776,5802,53,642,-5.04%,"-1,386",2.7,41,0%,0.90%,0.00%
221,VGB,British Virgin Islands,North America,17695,31538,31305,30910,29366,27556,20104,15617,11109,9581,460,210,-0.18%,-32,1.9,38,N.A.,0.74%,0.00%
222,PLW,Palau,Oceania,14598,18058,18055,17972,17794,18540,19726,15293,12252,11366,90,39,1.30%,188,1.4,38,N.A.,0.02%,0.00%
223,COK,Cook Islands,Oceania,13729,17044,17011,17029,17695,17212,15897,17123,17651,20470,240,71,-3.47%,-493,2,36,98%,0.19%,0.00%
224,AIA,Anguilla,North America,11947,15899,15857,15585,14525,13172,11047,8316,6560,6283,20,175,0.61%,72,3.3,20,95%,0.26%,0.00%
225,NRU,Nauru,Oceania,11277,12780,12668,12315,11185,10241,10377,9598,7635,6663,140,639,-0.82%,-93,1.4,38,0%,0.88%,0.00%
226,WLF,Wallis and Futuna,Oceania,11258,11502,11572,11655,12182,13142,14723,13454,11315,9377,21,42,1.56%,173,0.8,39,0%,-0.60%,0.00%
227,TUV,Tuvalu,Oceania,9646,11396,11312,11069,10877,10550,9638,9182,7731,5814,30,380,-1.73%,-170,3.2,24,83%,0.74%,0.00%
228,BLM,Saint Barthelemy,North America,5628,10994,10967,10681,9643,8988,7082,5168,2983,2417,230,440,-0.93%,-53,1.3,47,N.A.,0.25%,0.00%
229,SPM,Saint Pierre and Miquelon,North America,5237,5840,5862,5906,5978,6052,6274,6324,6106,5537,390,24,-0.98%,-52,1.6,51,33%,-0.38%,0.00%
230,MSR,Montserrat,North America,4389,4386,4390,4500,5059,4938,5138,10805,11452,11402,100,43,-0.70%,-31,1.4,42,11%,-0.09%,0.00%
231,FLK,Falkland Islands,South America,3470,3791,3780,3747,3408,3187,3080,2332,2240,2274,"12,170",0,-0.20%,-7,1.7,42,68%,0.29%,0.00%
232,NIU,Niue,Oceania,2506,1935,1934,1942,1847,1812,2074,2533,3637,5185,10,7,4.55%,109,2.6,27,0%,0.05%,0.00%
233,TKL,Tokelau,Oceania,1819,1893,1871,1827,1454,1367,1666,1669,1647,1714,260,189,0.11%,2,2.5,36,44%,1.18%,0.00%
234,VAT,Vatican City,Europe,496,518,510,520,564,596,651,700,733,752,0,1177,0.00%,0,1,59,N.A.,1.57%,0.00%
